WY,D
YY,U
WY,D
YY,N
YY,R
ZY,U
XY,D
ZY,L
YY,U
WY,N
WZ,R
XZ,D
ZZ,L
YZ,U
WZ,R
XZ,N
XZ,D
ZZ,N
ZZ,U
XZ,N
XZ,L
WZ,D
YZ,R
ZZ,N
ZZ,L
YZ,U
WZ,N
WZ,N
WZ,N
WZ,R
XZ,D
ZZ,U
XZ,N
XZ,N
XY,N
XY,D
ZY,L
YY,N
YY,R
ZY,L
YY,U
WY,R
XZ,D
ZZ,L
YZ,N
YZ,U
WZ,R
XY,N
XY,D
ZY,U
XY,D
ZY,N
ZW,N
ZW,N
ZW,U
XW,N
XW,D
ZW,L
YW,N
YW,N
YW,N
YW,N
YW,U
WW,R
XW,N
XX,L
WX,D
YX,R
ZZ,N
ZZ,U
XZ,L
WZ,D
YZ,U
WZ,R
XZ,L
WZ,D
YZ,U
WZ,R
XZ,D
ZZ,U
XZ,N
XZ,L
WZ,N
WZ,N
WZ,N
WZ,D
YZ,N
YZ,U
WZ,N
WZ,R
XZ,D
ZZ,L
YZ,N
YZ,N
YZ,U
WZ,R
XZ,D
ZZ,L
YZ,R
ZZ,U
XZ,D
ZZ,N
ZX,N
ZX,U
XX,D
ZX,N
ZX,L
YX,R
ZX,U
XX,N
XX,N
XW,L
WW,R
XW,L
WW,N
WW,D
YW,U
WW,R
XW,N
XW,D
ZW,L
YW,U
WW,R
XW,L
WW,R
XW,N
XW,D
ZY,L
YY,U
WY,D
YZ,N
YX,N
YX,R
ZX,N
ZZ,N
ZX,U
XZ,D
ZZ,U
XZ,D
ZZ,N
ZZ,N
ZZ,N
ZZ,U
XZ,D
ZZ,L
YZ,U
WZ,N
WZ,D
YZ,R
ZZ,L
YY,N
YY,N
YY,N
YY,R
ZY,L
YY,U
WY,N
WY,R
XY,N
XZ,L
WZ,R
XZ,L
WZ,R
XZ,D
ZZ,U
XZ,N
XZ,N
XZ,D
ZZ,N
ZZ,L
YZ,N
YZ,U
WZ,N
WZ,N
WZ,N
WZ,D
YZ,U
WZ,D
YZ,N
YZ,R
ZZ,U
XZ,D
ZZ,N
ZZ,L
YZ,U
WZ,D
YZ,R
ZX,U
XX,D
ZX,N
ZX,N
ZX,L
YX,U
WX,D
YX,R
ZX,U
XX,L
WX,D
YX,U
WX,R
XX,L
WX,R
XX,N
XX,L
WX,N
WX,D
YZ,U
WX,D
