YW,R
ZW,L
YW,U
WW,R
XW,D
ZW,U
XW,N
XW,L
WW,N
WY,N
WY,R
XY,L
WY,D
YY,N
YY,R
ZY,U
XY,L
WY,D
YY,N
YY,U
WZ,R
XZ,N
XZ,L
WZ,R
XZ,D
ZZ,N
ZZ,L
YZ,N
YZ,R
ZZ,N
ZZ,N
ZZ,L
YZ,N
YZ,U
WZ,N
WZ,R
XZ,L
WZ,R
XZ,D
ZZ,L
YZ,R
ZZ,L
YZ,R
ZZ,U
XZ,L
WZ,R
XZ,L
WZ,N
WZ,R
XZ,N
XZ,L
WZ,R
XZ,D
ZZ,L
YX,U
WX,D
YX,N
YX,U
WX,N
WX,R
XX,L
WX,D
YX,U
WX,D
YX,N
YX,U
WX,D
YW,U
WW,R
XW,D
ZW,L
YW,U
WW,D
YW,U
WX,R
XX,N
XX,L
WX,D
YX,N
YX,N
YX,U
WX,N
WX,N
WX,N
WX,D
YX,U
WX,D
YX,R
ZX,U
XX,N
XX,D
ZX,U
XX,D
ZX,N
ZX,L
YX,N
YX,U
WX,D
YX,R
ZX,N
ZX,N
ZX,N
ZX,L
YX,R
ZX,N
ZX,L
YX,R
ZX,N
ZX,U
XX,D
ZX,U
XX,D
ZX,N
ZX,U
XX,D
ZX,L
YX,N
YX,R
ZX,U
XX,N
XX,N
XX,N
XZ,L
WZ,D
YZ,N
YZ,N
YZ,N
YZ,U
WX,D
YX,N
YX,N
YX,R
ZX,L
YX,N
YX,N
YX,N
YX,U
WX,N
WZ,R
XZ,N
XX,N
XX,L
WX,D
YX,R
ZX,L
YX,R
ZX,U
XX,L
WX,N
WX,R
XX,N
XX,N
XX,L
WX,D
YX,U
WX,D
YW,R
ZX,N
ZX,L
YX,N
YX,U
WX,N
WX,D
YX,R
ZX,N
ZX,L
YX,N
YX,R
ZZ,U
XZ,L
WZ,R
XZ,N
XZ,N
XZ,N
XZ,N
XZ,L
WX,R
XX,N
XX,D
ZX,N
ZX,U
XX,N
XX,N
XX,N
XX,D
ZX,L
YW,U
WX,D
YX,R
ZX,L
YX,R
ZX,N
ZX,L
YX,U
WX,N
WX,D
YW,N
YW,U
WW,R
XW,L
WW,D
YW,R
ZW,N
ZW,U
XW,D
ZW,L
YW,U
WW,N
WW,N
WW,D
YW,N
YW,N
YW,N
YW,U
WW,N
WW,R
XW,L
WW,N
WW,R
XW,D
ZW,N
ZX,L
YX,N
YX,U
WX,D
YX,R
ZX,N
ZX,L
YX,U
WX,R
XX,L
WX,R
XZ,N
XZ,N
XZ,L
WZ,R
XZ,L
WZ,D
YY,R
ZY,U
XY,D
ZY,L
YZ,R
ZZ,L
YZ,N
YZ,R
ZZ,N
ZZ,N
ZZ,L
YZ,U
WZ,D
YZ,R
ZZ,L
YZ,N
YZ,N
YX,R
ZX,N
ZX,N
ZX,U
XX,D
ZX,L
YX,R
ZX,N
ZX,U
XX,L
WX,R
XX,D
ZX,L
YX,N
YX,N
YX,U
WX,D
YZ,N
YZ,R
ZZ,U
XZ,N
XZ,L
WZ,D
YZ,N
YZ,N
YZ,U
WZ,N
WZ,D
YZ,U
WZ,N
WZ,R
XY,N
XY,D
ZY,L
YY,R
ZY,U
XY,D
ZZ,L
YZ,U
WZ,N
WZ,N
WZ,N
WX,N
WX,N
WX,N
WW,D
YW,U
WW,R
XW,L
WW,D
YW,U
WW,D
YW,U
WW,R
XW,D
ZW,N
ZW,U
XX,N
XX,L
WX,D
YX,U
WX,R
XX,D
ZX,U
XX,L
WW,N
WW,D
YW,N
YW,N
YW,R
ZW,N
ZW,N
ZW,U
XW,D
ZW,U
XW,N
XW,N
XW,D
ZW,N
ZW,U
XW,L
WW,N
WW,N
WW,N
WW,N
WY,N
WW,R
XW,N
XY,D
ZY,L
YY,N
YZ,R
ZZ,N
ZZ,U
XZ,N
XZ,N
XZ,L
WX,D
YX,U
WX,R
XX,L
WX,R
XX,L
WX,D
YX,R
ZX,N
ZX,N
ZX,U
XX,L
WX,N
WX,R
XX,L
WX,D
YX,N
YX,U
WX,R
XX,L
WX,N
WX,D
YX,N
YX,U
WX,R
XX,D
ZX,U
XX,D
ZZ,L
YZ,N
YY,R
ZY,N
ZY,U
XY,L
WY,R
XW,L
WW,D
YW,U
WW,D
YW,N
YW,N
YW,N
YW,U
WW,R
XW,D
ZW,U
XW,N
XW,L
WX,R
XX,N
XX,N
XX,L
WX,R
XX,D
ZX,L
YX,R
ZZ,N
ZZ,N
ZZ,U
XZ,D
ZZ,L
YZ,N
YX,N
YX,U
WX,D
YW,N
YW,U
WW,N
WW,N
WW,R
XW,L
WW,R
XW,L
WW,N
WW,N
WW,D
YW,N
YW,R
ZW,L
YW,U
WY,D
YY,N
YY,R
ZY,U
XY,D
ZY,L
YY,N
YY,N
YY,N
YY,R
ZY,U
XY,N
XY,L
WW,R
XW,L
WX,N
WX,R
XX,L
WX,N
WX,N
WX,D
YX,N
YX,N
YX,N
YX,U
WX,N
WX,D
YX,R
ZX,U
XX,L
WX,N
WX,N
WX,R
XX,L
WZ,N
WZ,D
YZ,R
ZY,L
YY,U
WY,N
WY,D
YY,U
WY,N
WY,R
XY,D
ZY,L
YW,U
